Slice,xc,yc,intdens,intsub,bgmedian,maxint,area,x,y,sqintdens,sqintsub,sqarea,threshold,animal,redFlag,useTracking
402,370.815,773.395,9421.000,4042.000,489.000,1084.000,11.000,370.864,773.409,24115.000,6511.000,36.000,680,13,0,1
403,370.592,773.312,8682.000,3772.000,491.000,1049.000,10.000,370.600,773.300,24371.000,6695.000,36.000,680,13,0,1
404,370.536,773.338,10288.000,4384.000,492.000,1040.000,12.000,370.500,773.333,24381.000,6669.000,36.000,680,13,0,1
405,370.788,773.281,10290.000,4362.000,494.000,985.000,12.000,370.833,773.250,24267.000,6483.000,36.000,680,13,0,1
406,370.731,773.269,10700.000,4291.000,493.000,1116.000,13.000,370.731,773.269,24246.000,6498.000,36.000,680,13,0,1
407,370.530,773.448,7916.000,3497.000,491.000,1041.000,9.000,370.500,773.500,23916.000,6240.000,36.000,680,13,0,1
408,370.684,773.324,9317.000,3927.000,490.000,1082.000,11.000,370.682,773.318,23764.000,6124.000,36.000,680,13,0,1
409,370.708,773.463,8396.000,3496.000,490.000,998.000,10.000,370.700,773.500,23899.000,6259.000,36.000,680,13,0,1
410,370.678,773.443,8500.000,3570.000,493.000,1025.000,10.000,370.700,773.500,23944.000,6196.000,36.000,680,13,0,1
411,370.664,773.481,8552.000,3632.000,492.000,1047.000,10.000,370.700,773.500,23819.000,6107.000,36.000,680,13,0,1
412,370.511,773.480,7792.000,3337.000,495.000,1036.000,9.000,370.500,773.500,24046.000,6226.000,36.000,680,13,0,1
413,370.502,773.470,7743.000,3288.000,495.000,975.000,9.000,370.500,773.500,23830.000,6010.000,36.000,680,13,0,1
414,370.326,773.451,8413.000,3463.000,495.000,993.000,10.000,370.300,773.500,23922.000,6102.000,36.000,680,13,0,1
415,370.498,773.318,9928.000,4000.000,494.000,1026.000,12.000,370.500,773.333,24083.000,6299.000,36.000,680,13,0,1
416,370.756,773.234,9070.000,3658.000,492.000,1065.000,11.000,370.773,773.227,23834.000,6122.000,36.000,680,13,0,1
417,370.574,773.318,9719.000,3791.000,494.000,977.000,12.000,370.583,773.333,23980.000,6196.000,36.000,680,13,0,1
418,370.493,773.317,9722.000,3746.000,498.000,1036.000,12.000,370.500,773.333,23662.000,5734.000,36.000,680,13,0,1
419,370.250,773.208,8187.000,3257.000,493.000,982.000,10.000,370.200,773.200,23684.000,5936.000,36.000,680,13,0,1
420,370.665,773.292,8757.000,3334.000,493.000,984.000,11.000,370.682,773.318,23489.000,5741.000,36.000,680,13,0,1
421,370.510,773.405,8941.000,3518.000,493.000,1015.000,11.000,370.500,773.409,23563.000,5815.000,36.000,680,13,0,1
422,370.507,773.479,7191.000,2754.000,493.000,957.000,9.000,370.500,773.500,23140.000,5392.000,36.000,680,13,0,1
423,370.523,773.473,7459.000,3049.000,490.000,994.000,9.000,370.500,773.500,23427.000,5787.000,36.000,680,13,0,1
424,370.609,773.286,8112.000,3182.000,493.000,958.000,10.000,370.600,773.300,23357.000,5609.000,36.000,680,13,0,1
425,370.697,773.474,8380.000,3450.000,493.000,990.000,10.000,370.700,773.500,23613.000,5865.000,36.000,680,13,0,1
426,370.689,773.481,8147.000,3237.000,491.000,1012.000,10.000,370.700,773.500,23545.000,5869.000,36.000,680,13,0,1
427,370.657,773.311,8994.000,3582.000,492.000,960.000,11.000,370.682,773.318,23749.000,6037.000,36.000,680,13,0,1
428,370.413,773.343,6723.000,2771.000,494.000,1026.000,8.000,370.375,773.375,23179.000,5395.000,36.000,680,13,0,1
429,370.509,773.460,7328.000,2900.000,492.000,926.000,9.000,370.500,773.500,23157.000,5445.000,36.000,680,13,0,1
430,370.510,773.482,7234.000,2815.000,491.000,941.000,9.000,370.500,773.500,23171.000,5495.000,36.000,680,13,0,1
431,370.678,773.452,8014.000,3104.000,491.000,986.000,10.000,370.700,773.500,23210.000,5534.000,36.000,680,13,0,1
432,370.742,773.257,6644.000,2700.000,493.000,953.000,8.000,370.750,773.250,23191.000,5443.000,36.000,680,13,0,1
433,370.510,773.468,7253.000,2825.000,492.000,974.000,9.000,370.500,773.500,23317.000,5605.000,36.000,680,13,0,1
434,370.508,773.280,8054.000,3144.000,491.000,956.000,10.000,370.500,773.300,23111.000,5435.000,36.000,680,13,0,1
435,370.410,773.178,7198.000,2788.000,490.000,955.000,9.000,370.389,773.167,23085.000,5445.000,36.000,680,13,0,1
436,370.233,773.191,7876.000,2976.000,490.000,925.000,10.000,370.200,773.200,23160.000,5520.000,36.000,680,13,0,1
437,370.610,773.376,6581.000,2629.000,494.000,911.000,8.000,370.625,773.375,23167.000,5383.000,36.000,680,13,0,1
438,370.625,773.355,7124.000,2687.000,493.000,935.000,9.000,370.611,773.389,22819.000,5071.000,36.000,680,13,0,1
439,370.521,773.472,7223.000,2795.000,492.000,890.000,9.000,370.500,773.500,23070.000,5358.000,36.000,680,13,0,1
440,370.517,773.461,7318.000,2881.000,493.000,1005.000,9.000,370.500,773.500,23235.000,5487.000,36.000,680,13,0,1
441,370.394,773.360,6385.000,2457.000,491.000,915.000,8.000,370.375,773.375,22635.000,4959.000,36.000,680,13,0,1
442,370.633,773.362,6330.000,2410.000,490.000,963.000,8.000,370.625,773.375,22899.000,5259.000,36.000,680,13,0,1
443,370.618,773.180,7168.000,2758.000,490.000,938.000,9.000,370.611,773.167,22905.000,5265.000,36.000,680,13,0,1
444,370.819,773.360,7050.000,2640.000,490.000,893.000,9.000,370.833,773.389,22931.000,5291.000,36.000,680,13,0,1
445,370.503,773.476,7037.000,2636.000,489.000,886.000,9.000,370.500,773.500,22772.000,5168.000,36.000,680,13,0,1
446,370.410,773.373,6380.000,2428.000,494.000,887.000,8.000,370.375,773.375,23050.000,5266.000,36.000,680,13,0,1
447,370.689,773.463,7721.000,2771.000,495.000,887.000,10.000,370.700,773.500,22810.000,4990.000,36.000,680,13,0,1
448,370.515,773.195,5811.000,2346.000,495.000,910.000,7.000,370.500,773.214,22979.000,5159.000,36.000,680,13,0,1
449,370.639,773.565,6236.000,2292.000,493.000,917.000,8.000,370.625,773.625,22931.000,5183.000,36.000,680,13,0,1
450,370.511,773.446,7204.000,2758.000,494.000,912.000,9.000,370.500,773.500,23067.000,5283.000,36.000,680,13,0,1
